stable_id,voice_id,unit_name_ru,event,text_ru,source_status,word_count,character_count,recommended_filename
SU_RubezhRifleman,SU_RubezhRifleman,Мотострелок МС-12 «Рубеж»,Selected,Мотострелок МС-12 «Рубеж» на связи.,canonical,5,35,VO_RU_SU_RubezhRifleman_Selected_01.wav
SU_RubezhRifleman,SU_RubezhRifleman,Мотострелок МС-12 «Рубеж»,Move,"Бежим, пока дорога свободна.",canonical,4,28,VO_RU_SU_RubezhRifleman_Move_01.wav
SU_RubezhRifleman,SU_RubezhRifleman,Мотострелок МС-12 «Рубеж»,Attack,Цель вижу. Открываю огонь.,canonical,4,26,VO_RU_SU_RubezhRifleman_Attack_01.wav
SU_RubezhRifleman,SU_RubezhRifleman,Мотострелок МС-12 «Рубеж»,Ability,В землю! Держим позицию!,canonical,4,24,VO_RU_SU_RubezhRifleman_Ability_01.wav
SU_RubezhRifleman,SU_RubezhRifleman,Мотострелок МС-12 «Рубеж»,Damaged,Нас прижали!,canonical,2,12,VO_RU_SU_RubezhRifleman_Damaged_01.wav
SU_RubezhRifleman,SU_RubezhRifleman,Мотострелок МС-12 «Рубеж»,Elite,Теперь мы не просто пополнение.,canonical,5,31,VO_RU_SU_RubezhRifleman_Elite_01.wav
SU_RubezhRifleman,SU_RubezhRifleman,Мотострелок МС-12 «Рубеж»,Idle,Обещали форму потеплее.,canonical,3,23,VO_RU_SU_RubezhRifleman_Idle_01.wav
SU_RubezhRifleman,SU_RubezhRifleman,Мотострелок МС-12 «Рубеж»,Death,Передайте… позицию держали.,canonical,3,27,VO_RU_SU_RubezhRifleman_Death_01.wav
SU_ZapalGrenadier,SU_ZapalGrenadier,Штурмовик ОШ-4 «Запал»,Selected,Гранаты снаряжены.,canonical,2,18,VO_RU_SU_ZapalGrenadier_Selected_01.wav
SU_ZapalGrenadier,SU_ZapalGrenadier,Штурмовик ОШ-4 «Запал»,Move,Подойдём на бросок.,canonical,3,19,VO_RU_SU_ZapalGrenadier_Move_01.wav
SU_ZapalGrenadier,SU_ZapalGrenadier,Штурмовик ОШ-4 «Запал»,Attack,Накрываю сектор!,canonical,2,16,VO_RU_SU_ZapalGrenadier_Attack_01.wav
SU_ZapalGrenadier,SU_ZapalGrenadier,Штурмовик ОШ-4 «Запал»,Ability,Термобарический — внутрь!,canonical,3,25,VO_RU_SU_ZapalGrenadier_Ability_01.wav
SU_ZapalGrenadier,SU_ZapalGrenadier,Штурмовик ОШ-4 «Запал»,Damaged,Осколками задело!,canonical,2,17,VO_RU_SU_ZapalGrenadier_Damaged_01.wav
SU_ZapalGrenadier,SU_ZapalGrenadier,Штурмовик ОШ-4 «Запал»,Elite,Теперь попадаю с первого броска.,canonical,5,32,VO_RU_SU_ZapalGrenadier_Elite_01.wav
SU_ZapalGrenadier,SU_ZapalGrenadier,Штурмовик ОШ-4 «Запал»,Idle,Главное — не перепутать сумки.,canonical,5,30,VO_RU_SU_ZapalGrenadier_Idle_01.wav
SU_ZapalGrenadier,SU_ZapalGrenadier,Штурмовик ОШ-4 «Запал»,Death,Чека… уже выдернута…,canonical,3,20,VO_RU_SU_ZapalGrenadier_Death_01.wav
SU_ZaslonAATeam,SU_ZaslonAATeam,Зенитный расчёт ПЗК-9 «Заслон»,Selected,Небо под контролем.,canonical,3,19,VO_RU_SU_ZaslonAATeam_Selected_01.wav
SU_ZaslonAATeam,SU_ZaslonAATeam,Зенитный расчёт ПЗК-9 «Заслон»,Move,Ищу чистый сектор.,canonical,3,18,VO_RU_SU_ZaslonAATeam_Move_01.wav
SU_ZaslonAATeam,SU_ZaslonAATeam,Зенитный расчёт ПЗК-9 «Заслон»,Attack,Высота подтверждена. Огонь!,canonical,3,27,VO_RU_SU_ZaslonAATeam_Attack_01.wav
SU_ZaslonAATeam,SU_ZaslonAATeam,Зенитный расчёт ПЗК-9 «Заслон»,Ability,Затаились. Пусть подлетят.,canonical,3,26,VO_RU_SU_ZaslonAATeam_Ability_01.wav
SU_ZaslonAATeam,SU_ZaslonAATeam,Зенитный расчёт ПЗК-9 «Заслон»,Damaged,Расчёт под обстрелом!,canonical,3,21,VO_RU_SU_ZaslonAATeam_Damaged_01.wav
SU_ZaslonAATeam,SU_ZaslonAATeam,Зенитный расчёт ПЗК-9 «Заслон»,Elite,Ни один борт не уйдёт.,canonical,5,22,VO_RU_SU_ZaslonAATeam_Elite_01.wav
SU_ZaslonAATeam,SU_ZaslonAATeam,Зенитный расчёт ПЗК-9 «Заслон»,Idle,Летят красиво. Падают лучше.,canonical,4,28,VO_RU_SU_ZaslonAATeam_Idle_01.wav
SU_ZaslonAATeam,SU_ZaslonAATeam,Зенитный расчёт ПЗК-9 «Заслон»,Death,Небо… ваше…,canonical,2,11,VO_RU_SU_ZaslonAATeam_Death_01.wav
SU_MasterEngineer,SU_MasterEngineer,Инженер-сапёр ИС-3 «Мастер»,Selected,Инструмент есть. План бы ещё.,canonical,5,29,VO_RU_SU_MasterEngineer_Selected_01.wav
SU_MasterEngineer,SU_MasterEngineer,Инженер-сапёр ИС-3 «Мастер»,Move,Доберусь и починю.,canonical,3,18,VO_RU_SU_MasterEngineer_Move_01.wav
SU_MasterEngineer,SU_MasterEngineer,Инженер-сапёр ИС-3 «Мастер»,Attack,Я не стрелок. Покажите объект.,canonical,5,30,VO_RU_SU_MasterEngineer_Attack_01.wav
SU_MasterEngineer,SU_MasterEngineer,Инженер-сапёр ИС-3 «Мастер»,Ability,Сейчас заведём эту развалину.,canonical,4,29,VO_RU_SU_MasterEngineer_Ability_01.wav
SU_MasterEngineer,SU_MasterEngineer,Инженер-сапёр ИС-3 «Мастер»,Damaged,Инженера прикройте!,canonical,2,19,VO_RU_SU_MasterEngineer_Damaged_01.wav
SU_MasterEngineer,SU_MasterEngineer,Инженер-сапёр ИС-3 «Мастер»,Elite,"Я починю даже то, чего ещё не построили.",canonical,8,40,VO_RU_SU_MasterEngineer_Elite_01.wav
SU_MasterEngineer,SU_MasterEngineer,Инженер-сапёр ИС-3 «Мастер»,Idle,По инструкции это должно было работать.,canonical,6,39,VO_RU_SU_MasterEngineer_Idle_01.wav
SU_MasterEngineer,SU_MasterEngineer,Инженер-сапёр ИС-3 «Мастер»,Death,Схема… была верной…,canonical,3,19,VO_RU_SU_MasterEngineer_Death_01.wav
SU_RazryadTrooper,SU_RazryadTrooper,Электроштурмовик ЭШ-8 «Разряд»,Selected,Контур заряжен.,canonical,2,15,VO_RU_SU_RazryadTrooper_Selected_01.wav
SU_RazryadTrooper,SU_RazryadTrooper,Электроштурмовик ЭШ-8 «Разряд»,Move,Ток пойдёт за нами.,canonical,4,19,VO_RU_SU_RazryadTrooper_Move_01.wav
SU_RazryadTrooper,SU_RazryadTrooper,Электроштурмовик ЭШ-8 «Разряд»,Attack,Разряд на цель!,canonical,3,15,VO_RU_SU_RazryadTrooper_Attack_01.wav
SU_RazryadTrooper,SU_RazryadTrooper,Электроштурмовик ЭШ-8 «Разряд»,Ability,Перегрузка сети!,canonical,2,16,VO_RU_SU_RazryadTrooper_Ability_01.wav
SU_RazryadTrooper,SU_RazryadTrooper,Электроштурмовик ЭШ-8 «Разряд»,Damaged,Изоляция пробита!,canonical,2,17,VO_RU_SU_RazryadTrooper_Damaged_01.wav
SU_RazryadTrooper,SU_RazryadTrooper,Электроштурмовик ЭШ-8 «Разряд»,Elite,Молния слушается меня.,canonical,3,22,VO_RU_SU_RazryadTrooper_Elite_01.wav
SU_RazryadTrooper,SU_RazryadTrooper,Электроштурмовик ЭШ-8 «Разряд»,Idle,Не трогайте кабель. Последнее предупреждение.,canonical,5,45,VO_RU_SU_RazryadTrooper_Idle_01.wav
SU_RazryadTrooper,SU_RazryadTrooper,Электроштурмовик ЭШ-8 «Разряд»,Death,Заземление… не сработало…,canonical,3,25,VO_RU_SU_RazryadTrooper_Death_01.wav
SU_VektorOfficer,SU_VektorOfficer,Офицер связи КС-6 «Вектор»,Selected,Связь с фронтом установлена.,canonical,4,28,VO_RU_SU_VektorOfficer_Selected_01.wav
SU_VektorOfficer,SU_VektorOfficer,Офицер связи КС-6 «Вектор»,Move,Передаю новый рубеж.,canonical,3,20,VO_RU_SU_VektorOfficer_Move_01.wav
SU_VektorOfficer,SU_VektorOfficer,Офицер связи КС-6 «Вектор»,Attack,Приказ утверждён. Уничтожить.,canonical,3,29,VO_RU_SU_VektorOfficer_Attack_01.wav
SU_VektorOfficer,SU_VektorOfficer,Офицер связи КС-6 «Вектор»,Ability,Первый приказ: ни шага назад!,canonical,5,29,VO_RU_SU_VektorOfficer_Ability_01.wav
SU_VektorOfficer,SU_VektorOfficer,Офицер связи КС-6 «Вектор»,Damaged,Канал под огнём!,canonical,3,16,VO_RU_SU_VektorOfficer_Damaged_01.wav
SU_VektorOfficer,SU_VektorOfficer,Офицер связи КС-6 «Вектор»,Elite,Теперь армия слышит меня без помех.,canonical,6,35,VO_RU_SU_VektorOfficer_Elite_01.wav
SU_VektorOfficer,SU_VektorOfficer,Офицер связи КС-6 «Вектор»,Idle,Молчание в эфире подозрительнее стрельбы.,canonical,5,41,VO_RU_SU_VektorOfficer_Idle_01.wav
SU_VektorOfficer,SU_VektorOfficer,Офицер связи КС-6 «Вектор»,Death,Командование… продолжайте без меня.,canonical,4,35,VO_RU_SU_VektorOfficer_Death_01.wav
SU_BogatyrOreCarrier,SU_BogatyrOreCarrier,Горнорудная машина ГРМ-8 «Богатырь»,Selected,Богатырь готов к рейсу.,canonical,4,23,VO_RU_SU_BogatyrOreCarrier_Selected_01.wav
SU_BogatyrOreCarrier,SU_BogatyrOreCarrier,Горнорудная машина ГРМ-8 «Богатырь»,Move,Тяжёлый груз идёт.,canonical,3,18,VO_RU_SU_BogatyrOreCarrier_Move_01.wav
SU_BogatyrOreCarrier,SU_BogatyrOreCarrier,Горнорудная машина ГРМ-8 «Богатырь»,Attack,Оружия нет. Могу переехать.,canonical,4,27,VO_RU_SU_BogatyrOreCarrier_Attack_01.wav
SU_BogatyrOreCarrier,SU_BogatyrOreCarrier,Горнорудная машина ГРМ-8 «Богатырь»,Ability,Закрываю броневые шторки.,canonical,3,25,VO_RU_SU_BogatyrOreCarrier_Ability_01.wav
SU_BogatyrOreCarrier,SU_BogatyrOreCarrier,Горнорудная машина ГРМ-8 «Богатырь»,Damaged,Обшивка держит!,canonical,2,15,VO_RU_SU_BogatyrOreCarrier_Damaged_01.wav
SU_BogatyrOreCarrier,SU_BogatyrOreCarrier,Горнорудная машина ГРМ-8 «Богатырь»,Elite,Маршрут знаю лучше генералов.,canonical,4,29,VO_RU_SU_BogatyrOreCarrier_Elite_01.wav
SU_BogatyrOreCarrier,SU_BogatyrOreCarrier,Горнорудная машина ГРМ-8 «Богатырь»,Idle,Руда сама себя не привезёт.,canonical,5,27,VO_RU_SU_BogatyrOreCarrier_Idle_01.wav
